time,x,y,angle
0.87,0,0.07744,0
0.88,0,0.07921,0
0.89,0,0.081,0
0.9,0,0.08281,0
0.91,0,0.08464,0
0.92,0,0.08649,0
0.93,0,0.08836,0
0.94,0,0.09025,0
0.95,0,0.09216,0
0.96,0,0.09409,0
0.97,0,0.09604,0
0.98,0,0.09801,0
0.99,0,0.1,0
1,0,0.10201,0
1.01,0,0.10404,0
1.02,0,0.10609,0
1.03,0,0.10816,0
1.04,0,0.11025,0
1.05,0,0.11236,0
1.06,0,0.11449,0
1.07,0,0.11664,0
1.08,0,0.11881,0
1.09,0,0.121,0
1.1,0,0.12321,0
1.11,0,0.12544,0
1.12,0,0.12769,0
1.13,0,0.12996,0
1.14,0,0.13225,0
1.15,0,0.13456,0
1.16,0,0.13689,0
1.17,0,0.13924,0
1.18,0,0.14161,0
1.19,0,0.144,0
1.2,0,0.14641,0
1.21,0,0.14884,0
1.22,0,0.15129,0
1.23,0,0.15376,0
1.24,0,0.15625,0
1.25,0,0.15876,0
1.26,0,0.16129,0
1.27,0,0.16384,0
1.28,0,0.16641,0
1.29,0,0.169,0
1.3,0,0.17161,0
1.31,0,0.17424,0
1.32,0,0.17689,0
1.33,0,0.17956,0
1.34,0,0.18225,0
1.35,0,0.18496,0
1.36,0,0.18769,0
1.37,0,0.19044,0
1.38,0,0.19321,0
1.39,0,0.196,0
1.4,0,0.19881,0
1.41,0,0.20164,0
1.42,0,0.20449,0
1.43,0,0.20736,0
1.44,0,0.21025,0
1.45,0,0.21316,0
1.46,0,0.21609,0
1.47,0,0.21904,0
1.48,0,0.22201,0
1.49,0,0.225,0
1.5,0,0.22801,0
1.51,0,0.23104,0
1.52,0,0.23409,0
1.53,0,0.23716,0
1.54,0,0.24025,0
1.55,0,0.24336,0
1.56,0,0.24649,0
1.57,0,0.24964,0
1.58,0,0.25281,0
1.59,0,0.256,0
1.6,0,0.25921,0
1.61,0,0.26244,0
1.62,0,0.26569,0
1.63,0,0.26896,0
1.64,0,0.27225,0
1.65,0,0.27556,0
1.66,0,0.27889,0
1.67,0,0.28224,0
1.68,0,0.28561,0
1.69,0,0.289,0
1.7,0,0.29241,0
1.71,0,0.29584,0
1.72,0,0.29929,0
1.73,0,0.30276,0
1.74,0,0.30625,0
1.75,0,0.30976,0
1.76,0,0.31329,0
1.77,0,0.31684,0
1.78,0,0.32041,0
1.79,0,0.324,0
1.8,0,0.32761,0
1.81,0,0.33124,0
1.82,0,0.33489,0
1.83,0,0.33856,0
1.84,0,0.34225,0
1.85,0,0.34596,0
1.86,0,0.34969,0
1.87,0,0.35344,0
1.88,0,0.35721,0
1.89,0,0.361,0
1.9,0,0.36481,0
1.91,0,0.36864,0
1.92,0,0.37249,0
1.93,0,0.37636,0
1.94,0,0.38025,0
1.95,0,0.38416,0
1.96,0,0.38809,0
1.97,0,0.39204,0
1.98,0,0.39601,0
1.99,0,0.4,0
2,0,0.40401,0
2.01,0,0.40804,0
2.02,0,0.41209,0
2.03,0,0.41616,0
2.04,0,0.42025,0
2.05,0,0.42436,0
2.06,0,0.42849,0
2.07,0,0.43264,0
2.08,0,0.43681,0
2.09,0,0.441,0
2.1,0,0.44521,0
2.11,0,0.44944,0
2.12,0,0.45369,0
2.13,0,0.45796,0
2.14,0,0.46225,0
2.15,0,0.46656,0
2.16,0,0.47089,0
2.17,0,0.47524,0
2.18,0,0.47961,0
2.19,0,0.484,0
2.2,0,0.48841,0
2.21,0,0.49284,0
2.22,0,0.49729,0
2.23,0,0.50176,0
2.24,0,0.50625,0
2.25,0,0.51076,0
2.26,0,0.51529,0
2.27,0,0.51984,0
2.28,0,0.52441,0
2.29,0,0.529,0
2.3,0,0.53361,0
2.31,0,0.53824,0
2.32,0,0.54289,0
2.33,0,0.54756,0
2.34,0,0.55225,0
2.35,0,0.55696,0
2.36,0,0.56169,0
2.37,0,0.56644,0
2.38,0,0.57121,0
2.39,0,0.576,0
2.4,0,0.58081,0
2.41,0,0.58564,0
2.42,0,0.59049,0
2.43,0,0.59536,0
2.44,0,0.60025,0
2.45,0,0.60516,0
2.46,0,0.61009,0
2.47,0,0.61504,0
2.48,0,0.62001,0
2.49,0,0.625,0
2.5,0,0.63001,0
2.51,0,0.63504,0
2.52,0,0.64009,0
2.53,0,0.64516,0
2.54,0,0.65025,0
2.55,0,0.65536,0
2.56,0,0.66049,0
2.57,0,0.66564,0
2.58,0,0.67081,0
2.59,0,0.676,0
2.6,0,0.68121,0
2.61,0,0.68644,0
2.62,0,0.69169,0
2.63,0,0.69696,0
2.64,0,0.70225,0
2.65,0,0.70756,0
2.66,0,0.71289,0
2.67,0,0.71824,0
2.68,0,0.72361,0
2.69,0,0.729,0
2.7,0,0.73441,0
2.71,0,0.73984,0
2.72,0,0.74529,0
2.73,0,0.75076,0
2.74,0,0.75625,0
2.75,0,0.76176,0
2.76,0,0.76729,0
2.77,0,0.77284,0
2.78,0,0.77841,0
2.79,0,0.784,0
2.8,0,0.78961,0
2.81,0,0.79524,0
2.82,0,0.80089,0
2.83,0,0.80656,0
2.84,0,0.81225,0
2.85,0,0.81796,0
2.86,0,0.82369,0
2.87,0,0.82944,0
2.88,0,0.83521,0
2.89,0,0.841,0
2.9,0,0.84681,0
2.91,0,0.85264,0
2.92,0,0.85849,0
2.93,0,0.86436,0
2.94,0,0.87025,0
2.95,0,0.87616,0
2.96,0,0.88209,0
2.97,0,0.88804,0
2.98,0,0.89401,0
2.99,0,0.9,0
3,0,0.90601,0
