time,x,y,angle
1.92,1.16203,0.472071,-0.37249
1.93,1.18618,0.475153,-0.37636
1.94,1.2107,0.478196,-0.38025
1.95,1.2356,0.481196,-0.38416
1.96,1.26087,0.484152,-0.38809
1.97,1.28652,0.487063,-0.39204
1.98,1.31257,0.489928,-0.39601
1.99,1.339,0.492744,-0.4
2,1.36582,0.495511,-0.40401
2.01,1.39304,0.498226,-0.40804
2.02,1.42067,0.500889,-0.41209
2.03,1.44869,0.503497,-0.41616
2.04,1.47713,0.506049,-0.42025
2.05,1.50597,0.508542,-0.42436
2.06,1.53524,0.510977,-0.42849
2.07,1.56492,0.51335,-0.43264
2.08,1.59503,0.515659,-0.43681
2.09,1.62556,0.517904,-0.441
2.1,1.65652,0.520083,-0.44521
2.11,1.68792,0.522193,-0.44944
2.12,1.71976,0.524232,-0.45369
2.13,1.75204,0.5262,-0.45796
2.14,1.78477,0.528093,-0.46225
2.15,1.81795,0.529911,-0.46656
2.16,1.85158,0.53165,-0.47089
2.17,1.88567,0.53331,-0.47524
2.18,1.92022,0.534887,-0.47961
2.19,1.95524,0.536381,-0.484
2.2,1.99073,0.537789,-0.48841
2.21,2.02669,0.539108,-0.49284
2.22,2.06313,0.540337,-0.49729
2.23,2.10005,0.541474,-0.50176
2.24,2.13746,0.542517,-0.50625
2.25,2.17536,0.543463,-0.51076
2.26,2.21375,0.54431,-0.51529
2.27,2.25264,0.545055,-0.51984
2.28,2.29203,0.545698,-0.52441
2.29,2.33193,0.546234,-0.529
2.3,2.37233,0.546663,-0.53361
2.31,2.41325,0.546981,-0.53824
2.32,2.45469,0.547186,-0.54289
2.33,2.49665,0.547277,-0.54756
2.34,2.53914,0.547249,-0.55225
2.35,2.58215,0.547101,-0.55696
2.36,2.6257,0.546831,-0.56169
2.37,2.66979,0.546435,-0.56644
2.38,2.71442,0.545912,-0.57121
2.39,2.75959,0.545259,-0.576
2.4,2.80532,0.544472,-0.58081
2.41,2.8516,0.54355,-0.58564
2.42,2.89843,0.542489,-0.59049
2.43,2.94583,0.541288,-0.59536
2.44,2.9938,0.539942,-0.60025
2.45,3.04234,0.53845,-0.60516
2.46,3.09145,0.536809,-0.61009
2.47,3.14114,0.535016,-0.61504
2.48,3.19141,0.533067,-0.62001
2.49,3.24227,0.530961,-0.625
2.5,3.29372,0.528693,-0.63001
2.51,3.34577,0.526262,-0.63504
2.52,3.39841,0.523664,-0.64009
2.53,3.45166,0.520895,-0.64516
2.54,3.50552,0.517954,-0.65025
2.55,3.55998,0.514837,-0.65536
2.56,3.61507,0.51154,-0.66049
2.57,3.67077,0.508061,-0.66564
2.58,3.72709,0.504397,-0.67081
2.59,3.78405,0.500543,-0.676
2.6,3.84163,0.496498,-0.68121
2.61,3.89985,0.492257,-0.68644
2.62,3.95872,0.487817,-0.69169
2.63,4.01822,0.483175,-0.69696
2.64,4.07838,0.478327,-0.70225
2.65,4.13918,0.473271,-0.70756
2.66,4.20065,0.468002,-0.71289
2.67,4.26277,0.462517,-0.71824
2.68,4.32556,0.456813,-0.72361
2.69,4.38902,0.450886,-0.729
2.7,4.45315,0.444732,-0.73441
2.71,4.51795,0.438347,-0.73984
2.72,4.58344,0.431729,-0.74529
2.73,4.64961,0.424872,-0.75076
2.74,4.71647,0.417774,-0.75625
2.75,4.78403,0.410431,-0.76176
2.76,4.85228,0.402839,-0.76729
2.77,4.92123,0.394994,-0.77284
2.78,4.99089,0.386892,-0.77841
2.79,5.06126,0.378529,-0.784
2.8,5.13234,0.369901,-0.78961
2.81,5.20414,0.361004,-0.79524
2.82,5.27665,0.351834,-0.80089
2.83,5.3499,0.342388,-0.80656
2.84,5.42387,0.33266,-0.81225
2.85,5.49858,0.322647,-0.81796
2.86,5.57402,0.312345,-0.82369
2.87,5.6502,0.301749,-0.82944
2.88,5.72713,0.290855,-0.83521
2.89,5.80481,0.279658,-0.841
2.9,5.88324,0.268155,-0.84681
2.91,5.96243,0.256342,-0.85264
2.92,6.04238,0.244212,-0.85849
2.93,6.12309,0.231763,-0.86436
2.94,6.20457,0.218989,-0.87025
2.95,6.28682,0.205887,-0.87616
2.96,6.36985,0.192451,-0.88209
2.97,6.45366,0.178677,-0.88804
2.98,6.53825,0.16456,-0.89401
2.99,6.62363,0.150095,-0.9
3,6.7098,0.135279,-0.90601
